id,type,title,handoffSource,inHandoff,implementationStatus,coverageClass,implementedSummary,implementationArtifacts,tests,evidence,decisionIds,deviationsOrNotes,remainingGap
OUT-001,outcome,Trygg kontroll över privata återkommande kostnader och enskilda köp,"En privatperson eller ett hushåll ska snabbt förstå vad som dras, vad som kan sägas upp, vad som köps enskilt och hur privatekonomin påverkas över tid, utan konto eller bankkoppling.",yes,implemented_first_slice,handoff_baseline_direct,Trygg kontroll över privata återkommande kostnader och enskilda köp är implementerad i de listade artefakterna.,"index.html; src/app.js; src/domain.js; src/styles.css",,Dev server responded with HTTP 200,"DEC-001; TECH-001",,
JNY-001,journey,Skapa första kontrollbilden,Ny privat användare: Komma från tom app till en första begriplig vy över återkommande kostnader.,yes,implemented_first_slice,handoff_baseline_direct,Skapa första kontrollbilden är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; src/styles.css; tests/domain.test.js",npm test,Dev server responded with HTTP 200,,,
JNY-002,journey,Hitta uppsägningsmöjlighet,Användare med flera abonnemang: Förstå när en kostnad kan tas bort och få minnesstöd.,yes,implemented_by_child_stories,handoff_baseline_rollup,Hitta uppsägningsmöjlighet är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js; src/styles.css",npm test,,,,
JNY-003,journey,Importera och rensa köp,Användare med kontoutdrag: Få in faktisk konsumtion och sortera bort sådant som inte behöver granskas.,yes,implemented_by_child_stories,handoff_baseline_rollup,Importera och rensa köp är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; src/mastercard-import.js; tests/domain.test.js; tests/mastercard-import.test.js; src/styles.css",npm test,,,,
JNY-004,journey,Skapa återkommande från köp,Användare som upptäcker abonnemang i kontoutdrag: Flytta ett återkommande mönster från historiskt köp till framtidsprognos.,yes,implemented_by_child_stories,handoff_baseline_rollup,Skapa återkommande från köp är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,,,,
JNY-005,journey,Göra återkommande till enskilt köp,Användare som felklassat en kostnad: Korrigera en post som inte längre ska påverka återkommande prognos.,yes,implemented_by_child_stories,handoff_baseline_rollup,Göra återkommande till enskilt köp är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,,,,
JNY-006,journey,Analysera påverkan,"Användare som vill prioritera nästa beslut: Se vilka kostnader, handlare, kategorier och perioder som påverkar mest.",yes,implemented_by_child_stories,handoff_baseline_rollup,Analysera påverkan är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,,,,
JNY-007,journey,Skydda lokal data,"Användare som vill undvika datatapp: Exportera, spara eller flytta data utan konto.",yes,implemented_by_child_stories,handoff_baseline_rollup,Skydda lokal data är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/storage.js; src/app.js; tests/storage.test.js",npm test,,,,
JNY-008,journey,Anpassa signaler och moduler,Power user eller hushållsansvarig: Göra appens språk och funktioner mer relevanta för vardagen.,yes,implemented_by_child_stories,handoff_baseline_rollup,Anpassa signaler och moduler är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,,,,
EP-001,epic,"Plånbok, onboarding och dataseparering","Scope in: Inkluderar skapa, välja, duplicera och konfigurera plånbok samt första användare. Exkluderar kontobaserad multi-user-synk.",yes,implemented_first_slice,handoff_baseline_direct,"Plånbok, onboarding och dataseparering är implementerad i de listade artefakterna.","src/app.js; src/domain.js; src/storage.js; tests/domain.test.js",npm test,Dev server responded with HTTP 200,DEC-001,,
EP-002,epic,Återkommande utgifter,"Scope in: Inkluderar belopp, period, leverantör, kategori, betalare, datum, status, signaler och anteckningar. Exkluderar fakturaskanning som automatisk källa.",yes,implemented_first_slice,handoff_baseline_direct,Återkommande utgifter är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,,,
EP-003,epic,Tidslinje och översikt,"Scope in: Inkluderar desktop-tidslinje, mobilöversikt, filter, sök, totals och snabblänkar. Exkluderar avancerad kalenderplanering.",yes,implemented_first_slice,handoff_baseline_direct,Tidslinje och översikt är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; src/styles.css",,Dev server responded with HTTP 200,,,
EP-004,epic,"Uppsägning, låsning och påminnelser","Scope in: Inkluderar uppsägningstid, låst period, tidigaste fria månad, avslut, påminnelse och kalenderexport. Exkluderar automatisk uppsägning hos leverantör.",yes,implemented_first_slice,handoff_baseline_direct,"Uppsägning, låsning och påminnelser är implementerad i de listade artefakterna.","src/app.js; src/domain.js",,Dev server responded with HTTP 200,,,
EP-005,epic,Register och återanvändbar metadata,"Scope in: Inkluderar personer, leverantörer, kategorier, färg/ikon, kontaktinfo och kategoriregler. Exkluderar full CRM eller dokumentarkiv.",yes,not_mapped_or_not_implemented,missing_or_unmapped,Register och återanvändbar metadata saknar direkt implementation-map-rad och är inte fullt härledd från barn-ID:n.,,,,,,
EP-006,epic,Enskilda köp och kontoutdragsimport,"Scope in: Inkluderar manuella köp, import från CSV/XLSX/PDF, importförhandsgranskning, deduplicering, kategorisering och köpdetalj. Exkluderar direkt bankintegration.",yes,implemented_by_child_stories,handoff_baseline_rollup,Enskilda köp och kontoutdragsimport är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js; src/mastercard-import.js; tests/mastercard-import.test.js",npm test,,,,
EP-007,epic,"Signaler, klassning och konvertering","Scope in: Inkluderar Granska, Onödigt, Återkommande, Värt det, Business, namnbyte av business-signal, köp -> återkommande och återkommande -> köp.",yes,implemented_by_child_stories,handoff_baseline_rollup,"Signaler, klassning och konvertering är täckt genom att samtliga länkade story-ID:n är implementerade.","src/app.js; src/domain.js; tests/domain.test.js",npm test,,,,
EP-008,epic,Statistik och beslutsstöd,"Scope in: Inkluderar återkommande analys, köpstatistik, köpradar, budgetutfall, kategori/person/leverantör, topphandlare och periodtrender.",yes,implemented_first_slice,handoff_baseline_direct,Statistik och beslutsstöd är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,,,
EP-009,epic,"Dataexport, backup, datafil och sync","Scope in: Inkluderar localStorage, JSON/ZIP/CSV/PDF/ICS, datafil, delningsfil, import som ny plånbok och experimentell molnsync via egen endpoint. Exkluderar hosted backend som krav.",yes,not_mapped_or_not_implemented,missing_or_unmapped,"Dataexport, backup, datafil och sync saknar direkt implementation-map-rad och är inte fullt härledd från barn-ID:n.",,,,,,
EP-010,epic,"Responsiv UX, hjälp och tomlägen","Scope in: Inkluderar navigering, modaler, drawer, tomlägen, hjälpvy, mobilanpassade kort och primära actions. Exkluderar marketing-landningssida.",yes,implemented_first_slice,handoff_baseline_direct,"Responsiv UX, hjälp och tomlägen är implementerad i de listade artefakterna.","src/app.js; src/styles.css",,Dev server responded with HTTP 200,,,
EP-011,epic,Simulering och scenarioanalys,"Scope in: Inkluderar simulera bort återkommande utgift, simulerad statistik och återställning. Exkluderar flerårig forecasting med osäkerhetsmodell.",yes,not_mapped_or_not_implemented,missing_or_unmapped,Simulering och scenarioanalys saknar direkt implementation-map-rad och är inte fullt härledd från barn-ID:n.,,,,,,
EP-012,epic,Produktadministration och planflaggor,"Scope in: Inkluderar Data-vy, lokal varning, premium/free-flagga, köp på/av och namn på business-signal. Exkluderar riktig betalvägg.",yes,not_mapped_or_not_implemented,missing_or_unmapped,Produktadministration och planflaggor saknar direkt implementation-map-rad och är inte fullt härledd från barn-ID:n.,,,,,,
EPC-001,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js; src/styles.css",npm test,,,,
